Date Time,Area 1_OnOFF,Area 1_Mode,Area 1_SetTemp,Area 1_FanSpeed,Area 2_OnOFF,Area 2_Mode,Area 2_SetTemp,Area 2_FanSpeed,Area 3_OnOFF,Area 3_Mode,Area 3_SetTemp,Area 3_FanSpeed,Area 4_OnOFF,Area 4_Mode,Area 4_SetTemp,Area 4_FanSpeed,Meeting Room_OnOFF,Meeting Room_Mode,Meeting Room_SetTemp,Meeting Room_FanSpeed,Break Room_OnOFF,Break Room_Mode,Break Room_SetTemp,Break Room_FanSpeed
2025/09/28 00:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 01:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 02:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 03:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 04:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 05:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 06:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 07:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 08:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 09:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 10:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 11:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 12:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 13:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 14:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 15:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 16:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 17:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 18:00,ON,COOL,19,1,ON,COOL,20,1,ON,COOL,20,1,ON,COOL,23,1,ON,COOL,20,1,ON,COOL,19,1
2025/09/28 19:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 20:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 21:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 22:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
2025/09/28 23:00,OFF,COOL,19,1,OFF,COOL,20,1,OFF,COOL,20,1,OFF,COOL,23,1,OFF,COOL,20,1,OFF,COOL,19,1
